season,episode,count,title,date
3,7,87,Nasty Patty,"March 1, 2002"
3,8,88,Idiot Box,"March 1, 2002"
3,9,89,Mermaid Man and Barnacle Boy IV,"January 21, 2002"
3,10,90,Doing Time,"January 21, 2002"
3,11,91,Snowball Effect,"February 22, 2002"
3,12,92,One Krabs Trash,"February 22, 2002"
3,13,93,As Seen on TV,"March 8, 2002"
3,14,94,Can You Spare a Dime?,"March 8, 2002"
3,15,95,No Weenies Allowed,"March 15, 2002"
3,16,96,Squilliam Returns,"March 15, 2002"
3,17,97,Krab Borg,"March 29, 2002"
3,18,98,Rock-a-Bye Bivalve,"March 29, 2002"
3,19,99,Wet Painters,"May 10, 2002"
3,20,100,Krusty Krab Training Video,"May 10, 2002"
3,21,101,Party Pooper Pants,"May 17, 2002"
3,22,102,Chocolate with Nuts,"June 1, 2002"
3,23,103,Mermaid Man and Barnacle Boy V,"June 1, 2002"
3,24,104,New Student Starfish,"September 20, 2002"
3,25,105,Clams,"September 20, 2002"
3,26,106,Ugh,"March 5, 2004"
3,27,107,The Great Snail Race,"January 24, 2003"
3,28,108,Mid-Life Crustacean,"January 24, 2003"
3,29,109,Born Again Krabs,"October 4, 2003"
3,30,110,I Had an Accident,"October 4, 2003"
3,31,111,Krabby Land,"April 3, 2004"
3,32,112,The Camping Episode,"April 3, 2004"
3,33,113,Missing Identity,"January 19, 2004"
3,34,114,Plankton's Army,"January 19, 2004"
3,35,115,The Sponge Who Could Fly,"March 21, 2003"
3,36,116,SpongeBob Meets the Strangler,"October 11, 2004"
3,37,117,Pranks a Lot,"October 11, 2004"
4,1,118,Fear of a Krabby Patty,"May 6, 2005"
4,2,119,Shell of a Man,"May 6, 2005"
4,3,120,The Lost Mattress,"May 13, 2005"
4,4,121,Krabs vs. Plankton,"May 13, 2005"
4,5,122,Have You Seen This Snail?,"November 11, 2005"
4,6,123,Skill Crane,"May 20, 2005"
4,7,124,Good Neighbors,"May 20, 2005"
4,8,125,Selling Out,"September 23, 2005"
4,9,126,Funny Pants,"September 30, 2005"
4,10,127,Dunces and Dragons,"February 20, 2006"
4,11,128,Enemy In-Law,"October 14, 2005"
4,12,129,Mermaid Man and Barnacle Boy VI: The Motion Picture,"October 7, 2005"
4,13,130,Patrick SmartPants,"October 21, 2005"
4,14,131,SquidBob TentaclePants,"November 4, 2005"
4,15,132,Krusty Towers,"April 1, 2006"
4,16,133,"Mrs. Puff, You're Fired","April 1, 2006"
4,17,134,Chimps Ahoy,"May 5, 2006"
4,18,135,Ghost Host,"May 5, 2006"
4,19,136,Whale of a Birthday,"May 12, 2006"
4,20,137,Karate Island,"May 12, 2006"
4,21,138,All That Glitters,"June 2, 2006"
4,22,139,Wishing You Well,"June 2, 2006"
4,23,140,New Leaf,"September 22, 2006"
4,24,141,Once Bitten,"September 29, 2006"
4,25,142,Bummer Vacation,"October 13, 2006"
4,26,143,Wigstruck,"November 17, 2006"
4,27,144,Squidtastic Voyage,"October 6, 2006"
4,28,145,That's No Lady,"November 25, 2006"
4,29,146,The Thing,"January 15, 2007"
4,30,147,Hocus Pocus,"January 15, 2007"
4,31,148,Driven to Tears,"February 19, 2007"
4,32,149,Rule of Dumb,"February 19, 2007"
4,33,150,Born to Be Wild,"March 31, 2007"
4,34,151,Best Frenemies,"March 31, 2007"
4,35,152,The Pink Purloiner,"February 19, 2007"
4,36,153,Squid Wood,"July 24, 2007"
4,37,154,Best Day Ever,"November 10, 2006"
4,38,155,The Gift of Gum,"February 19, 2007"
5,1,156,Friend or Foe,"April 13, 2007"
5,2,157,The Original Fry Cook,"July 30, 2007"
5,3,158,Night Light,"July 30, 2007"
5,4,159,Rise and Shine,"February 19, 2007"
5,5,160,Waiting,"February 19, 2007"
5,6,161,Fungus Among Us,"September 29, 2007"
5,7,162,Spy Buddies,"July 23, 2007"
5,8,163,Boat Smarts,"July 23, 2007"
5,9,164,Good Ol' Whatshisname,"July 23, 2007"
5,10,165,New Digs,"July 25, 2007"
5,11,166,Krabs à la Mode,"July 25, 2007"
5,12,167,Roller Cowards,"July 27, 2007"
5,13,168,Bucket Sweet Bucket,"July 27, 2007"
5,14,169,To Love a Patty,"July 26, 2007"
5,15,170,Breath of Fresh Squidward,"July 26, 2007"
5,16,171,Money Talks,"July 31, 2007"
5,17,172,SpongeBob vs. The Patty Gadget,"July 31, 2007"
5,18,173,Slimy Dancing,"July 31, 2007"
5,19,174,The Krusty Sponge,"July 24, 2007"
5,20,175,Sing a Song of Patrick,"February 19, 2007"
5,21,176,A Flea in Her Dome,"August 1, 2007"
5,22,177,The Donut of Shame,"August 1, 2007"
5,23,178,The Krusty Plate,"August 1, 2007"
5,24,179,Goo Goo Gas,"July 19, 2009"
5,25,180,Le Big Switch,"September 29, 2007"
5,26,181,Atlantis SquarePantis,"November 12, 2007"
5,27,182,Picture Day,"August 2, 2007"
5,28,183,Pat No Pay,"August 2, 2007"
5,29,184,BlackJack,"August 2, 2007"
5,30,185,Blackened Sponge,"August 3, 2007"
5,31,186,Mermaid Man vs. SpongeBob,"August 3, 2007"
5,32,187,The Inmates of Summer,"November 23, 2007"
5,33,188,To Save a Squirrel,"November 23, 2007"
5,34,189,Pest of the West,"April 11, 2008"
5,35,190,"20,000 Patties Under the Sea","November 23, 2007"
5,36,191,The Battle of Bikini Bottom,"November 23, 2007"
5,37,192,What Ever Happened to SpongeBob?,"October 13, 2008"
5,38,193,The Two Faces of Squidward,"November 23, 2007"
5,39,194,SpongeHenge,"November 23, 2007"
5,40,195,Banned in Bikini Bottom,"November 23, 2007"
5,41,196,Stanley S. SquarePants,"November 23, 2007"
6,1,197,House Fancy,"June 6, 2008"
6,2,198,Krabby Road,"March 3, 2008"
6,3,199,Penny Foolish,"March 7, 2008"
6,4,200,Nautical Novice,"March 29, 2008"
6,5,201,Spongicus,"March 29, 2008"
6,6,202,Suction Cup Symphony,"March 6, 2008"
6,7,203,Not Normal,"March 4, 2008"
6,8,204,Gone,"March 5, 2008"
6,9,205,The Splinter,"June 2, 2008"
6,10,206,Slide Whistle Stooges,"February 16, 2009"
6,11,207,A Life in a Day,"June 4, 2008"
6,12,208,Sun Bleached,"June 5, 2008"
6,13,209,Giant Squidward,"June 3, 2008"
6,14,210,No Nose Knows,"August 4, 2008"
6,15,211,Patty Caper,"August 5, 2008"
6,16,212,Plankton's Regular,"August 6, 2008"
6,17,213,Boating Buddies,"August 7, 2008"
6,18,214,The Krabby Kronicle,"August 8, 2008"
6,19,215,The Slumber Party,"November 28, 2008"
6,20,216,Grooming Gary,"November 28, 2008"
6,21,217,SpongeBob SquarePants vs. The Big One,"April 17, 2009[u]"
6,22,218,Porous Pockets,"November 28, 2008"
6,23,219,Choir Boys,"March 20, 2009"
6,24,220,Krusty Krushers,"November 28, 2008"
6,25,221,The Card,"November 28, 2008"
6,26,222,Dear Vikings,"November 28, 2008"
6,27,223,Ditchin',"November 28, 2008"
6,28,224,Grandpappy the Pirate,"February 18, 2009"
6,29,225,Cephalopod Lodge,"February 17, 2009"
6,30,226,Squid's Visit,"June 4, 2009"
6,31,227,To SquarePants or Not to SquarePants,"July 17, 2009"
6,32,228,Shuffleboarding,"February 16, 2009"
6,33,229,Professor Squidward,"February 19, 2009"
6,34,230,Pet or Pests,"March 18, 2009"
6,35,231,Komputer Overload,"March 19, 2009"
6,36,232,Gullible Pants,"June 5, 2009"
6,37,233,Overbooked,"July 19, 2009"
6,38,234,No Hat for Pat,"July 19, 2009"
6,39,235,Toy Store of Doom,"March 17, 2009"
6,40,236,Sand Castles in the Sand,"March 16, 2009"
6,41,237,Shell Shocked,"June 1, 2009"
6,42,238,Chum Bucket Supreme,"July 19, 2009"
6,43,239,Single Cell Anniversary,"June 3, 2009"
6,44,240,Truth or Square,"November 6, 2009"
6,45,241,Pineapple Fever,"June 2, 2009"
6,46,242,Chum Caverns,"July 18, 2009"
6,47,243,The Clash of Triton,"July 5, 2010"
7,1,244,Tentacle-Vision,"July 19, 2009"
7,2,245,I ♥ Dancing,"July 19, 2009"
7,3,246,Growth Spout,"July 19, 2009"
7,4,247,Stuck in the Wringer,"July 19, 2009"
7,5,248,Someone's in the Kitchen with Sandy,"July 19, 2009"
7,6,249,The Inside Job,"July 19, 2009"
7,7,250,Greasy Buffoons,"November 27, 2009"
7,8,251,Model Sponge,"November 27, 2009"
7,9,252,Keep Bikini Bottom Beautiful,"January 2, 2010"
7,10,253,A Pal for Gary,"January 2, 2010"
7,11,254,"Yours, Mine, and Mine","September 11, 2010"
7,12,255,Kracked Krabs,"September 11, 2010"
7,13,256,The Curse of Bikini Bottom,"October 24, 2009"
7,14,257,Squidward in Clarinetland,"March 24, 2010"
7,15,258,SpongeBob's Last Stand,"April 22, 2010"
7,16,259,Back to the Past,"February 15, 2010"
7,17,260,The Bad Guy Club for Villains,"February 15, 2010"
7,18,261,A Day Without Tears,"March 22, 2010"
7,19,262,Summer Job,"March 23, 2010"
7,20,263,One Coarse Meal,"March 25, 2010"
7,21,264,Gary in Love,"February 6, 2010"
7,22,265,The Play's the Thing,"March 26, 2010"
7,23,266,Rodeo Daze,"February 6, 2010"
7,24,267,Gramma's Secret Recipe,"July 6, 2010"
7,25,268,The Cent of Money,"July 7, 2010"
7,26,269,The Monster Who Came to Bikini Bottom,"January 28, 2011"
7,27,270,Welcome to the Bikini Bottom Triangle,"January 28, 2011"
7,28,271,The Curse of the Hex,"June 11, 2011"
7,29,272,The Main Drain,"January 28, 2011"
7,30,273,Trenchbillies,"January 27, 2011 "
7,31,274,Sponge-Cano!,"January 28, 2011"
7,32,275,The Great Patty Caper,"November 11, 2010"
7,33,276,That Sinking Feeling,"July 8, 2010"
7,34,277,Karate Star,"July 9, 2010"
7,35,278,Buried in Time,"September 18, 2010"
7,36,279,Enchanted Tiki Dreams,"June 19, 2010"
7,37,280,The Abrasive Side,"November 27, 2010"
7,38,281,Earworm,"November 27, 2010"
7,39,282,Hide and Then What Happens?,"August 9, 2010"
7,40,283,Shellback Shenanigans,"September 18, 2010"
7,41,284,The Masterpiece,"October 2, 2010"
7,42,285,Whelk Attack,"October 2, 2010"
7,43,286,You Don't Know Sponge,"August 9, 2010"
7,44,287,Tunnel of Glove,"February 12, 2011"
7,45,288,Krusty Dogs,"October 9, 2010"
7,46,289,The Wreck of the Mauna Loa,"October 9, 2010"
7,47,290,New Fish in Town,"January 15, 2011"
7,48,291,Love That Squid,"February 12, 2011"
7,49,292,Big Sister Sam,"January 15, 2011"
7,50,293,Perfect Chemistry,"February 26, 2011"
8,1,294,Accidents Will Happen,"July 18, 2011"
8,2,295,The Other Patty,"June 25, 2011"
8,3,296,Drive Thru,"July 19, 2011"
8,4,297,The Hot Shot,"June 18, 2011"
8,5,298,A Friendly Game,"March 26, 2011"
8,6,299,Sentimental Sponge,"April 2, 2011"
8,7,300,Frozen Face-Off,"July 15, 2011"
8,8,301,Squidward's School for Grown-Ups,"June 4, 2011"
8,9,302,Oral Report,"March 26, 2011"
8,10,303,Sweet and Sour Squid,"July 20, 2011"
8,11,304,The Googly Artiste,"July 21, 2011"
8,12,305,A SquarePants Family Vacation,"November 11, 2011"
8,13,306,Patrick's Staycation,"November 8, 2011"
8,14,307,Walking the Plankton,"November 7, 2011"
8,15,308,Mooncation,"November 10, 2011"
8,16,309,Mr. Krabs Takes a Vacation,"November 9, 2011"
8,17,310,Ghoul Fools,"October 21, 2011"
8,18,311,Mermaid Man Begins,"September 23, 2011"
8,19,312,Plankton's Good Eye,"September 23, 2011"
8,20,313,Barnacle Face,"September 16, 2011"
8,21,314,Pet Sitter Pat,"September 16, 2011"
8,22,315,House Sittin' for Sandy,"September 30, 2011"
8,23,316,Smoothe Jazz at Bikini Bottom,"September 30, 2011"
8,24,317,Bubble Troubles,"November 25, 2011"
8,25,318,The Way of the Sponge,"November 25, 2011"
8,26,319,The Krabby Patty that Ate Bikini Bottom,"November 25, 2011"
8,27,320,Bubble Buddy Returns,"November 25, 2011"
8,28,321,Restraining SpongeBob,"April 2, 2012"
8,29,322,Fiasco!,"April 5, 2012"
8,30,323,Are You Happy Now?,"March 31, 2012"
8,31,324,Planet of the Jellyfish,"March 31, 2012"
8,32,325,Free Samples,"April 6, 2012"
8,33,326,Home Sweet Rubble,"April 4, 2012"
8,34,327,Karen 2.0,"April 13, 2012"
8,35,328,inSPONGEiac,"April 9, 2012"
8,36,329,Face Freeze,"July 21, 2012"
8,37,330,Glove World R.I.P.,"April 3, 2012"
8,38,331,Squiditis,"April 11, 2012"
8,39,332,Demolition Doofus,"July 21, 2012"
8,40,333,Treats!!,"April 10, 2012"
8,41,334,For Here Or To Go?,"April 12, 2012"
8,42,335,It's a SpongeBob Christmas!,"November 23, 2012 "
8,43,336,Super Evil Aquatic Villain Team Up is Go!,"October 14, 2012"
8,44,337,Chum Fricassee,"October 21, 2012"
8,45,338,The Good Krabby Name,"September 3, 2012"
8,46,339,Move It or Lose It,"October 21, 2012"
8,47,340,Hello Bikini Bottom!,"October 8, 2012"
9,1,341,Extreme Spots,"July 21, 2012"
9,2,342,Squirrel Record,"July 21, 2012"
9,3,343,Patrick-Man!,"October 27, 2012"
9,4,344,Gary's New Toy,"October 14, 2012"
9,5,345,License to Milkshake,"September 7, 2012"
9,6,346,Squid Baby,"September 3, 2012"
9,7,347,Little Yellow Book,"March 2, 2013"
9,8,348,Bumper to Bumper,"November 17, 2012"
9,9,349,"Eek, an Urchin!","October 27, 2012"
9,10,350,Squid Defense,"January 1, 2013"
9,11,351,Jailbreak!,"March 16, 2013"
9,12,352,Evil Spatula,"March 9, 2013"
9,13,353,It Came from Goo Lagoon,"February 17, 2014"
9,14,354,Safe Deposit Krabs,"May 25, 2013"
9,15,355,Plankton's Pet,"January 19, 2013"
9,16,356,Don't Look Now,"October 14, 2013"
9,17,357,Séance Shméance,"October 14, 2013"
9,18,358,Kenny the Cat,"March 29, 2014"
9,19,359,Yeti Krabs,"March 29, 2015"
9,20,360,"SpongeBob, You're Fired","November 11, 2013"
9,21,361,Lost in Bikini Bottom,"July 16, 2015"
9,22,362,Tutor Sauce,"July 16, 2015"
9,23,363,Squid Plus One,"September 7, 2015"
9,24,364,The Executive Treatment,"September 7, 2015"
9,25,365,Company Picnic,"September 25, 2015"
9,26,366,Pull Up a Barrel,"September 18, 2015"
9,27,367,Sanctuary!,"October 16, 2015"
9,28,368,What's Eating Patrick?,"October 2, 2015"
9,29,369,Patrick! The Game,"November 11, 2015"
9,30,370,The Sewers of Bikini Bottom,"November 11, 2015"
9,31,371,SpongeBob LongPants,"February 15, 2016"
9,32,372,Larry's Gym,"February 15, 2016"
9,33,373,The Fish Bowl,"May 2, 2016"
9,34,374,Married to Money,"May 3, 2016"
9,35,375,Mall Girl Pearl,"March 12, 2016"
9,36,376,Two Thumbs Down,"March 12, 2016"
9,37,377,Sharks vs. Pods,"May 4, 2016"
9,38,378,CopyBob DittoPants,"May 5, 2016"
9,39,379,Sold!,"May 6, 2016"
9,40,380,Lame and Fortune,"July 11, 2016"
9,41,381,"Goodbye, Krabby Patty?","February 20, 2017"
9,42,382,Sandy's Nutmare,"July 12, 2016"
9,43,383,Bulletin Board,"October 1, 2016"
9,44,384,Food Con Castaways,"July 13, 2016"
9,45,385,Snail Mail,"October 22, 2016"
9,46,386,Pineapple Invasion,"July 14, 2016"
9,47,387,Salsa Imbecilicus,"July 15, 2016"
9,48,388,Mutiny on the Krusty,"October 8, 2016"
9,49,389,The Whole Tooth,"December 3, 2016"
10,1,390,Whirly Brains,"October 15, 2016"
10,2,391,Mermaid Pants,"October 29, 2016"
10,3,392,Unreal Estate,"June 3, 2017"
10,4,393,Code Yellow,"June 3, 2017"
10,5,394,Mimic Madness,"February 25, 2017"
10,6,395,House Worming,"February 25, 2017"
10,7,396,Snooze You Lose,"March 4, 2017"
10,8,397,Krusty Katering,"March 4, 2017"
10,9,398,SpongeBob's Place,"March 11, 2017"
10,10,399,Plankton Gets the Boot,"March 11, 2017"
10,11,400,Life Insurance,"March 18, 2017"
10,12,401,Burst Your Bubble,"March 18, 2017"
10,13,402,Plankton Retires,"March 25, 2017"
10,14,403,Trident Trouble,"March 25, 2017"
10,15,404,The Incredible Shrinking Sponge,"December 2, 2017"
10,16,405,Sportz?,"July 16, 2017"
10,17,406,The Getaway,"June 10, 2017"
10,18,407,Lost and Found,"June 10, 2017"
10,19,408,Patrick's Coupon,"June 17, 2017"
10,20,409,Out of the Picture,"June 17, 2017"
10,21,410,Feral Friends,"October 7, 2017"
10,22,411,Don't Wake Patrick,"October 7, 2017"
11,1,412,Cave Dwelling Sponge,"September 23, 2017"
11,2,413,The Clam Whisperer,"September 23, 2017"
11,3,414,Spot Returns,"June 24, 2017"
11,4,415,The Check-Up,"June 24, 2017"
11,5,416,Spin the Bottle,"July 16, 2017"
11,6,417,There's a Sponge in My Soup,"November 7, 2017"
11,7,418,Man Ray Returns,"September 30, 2017"
11,8,419,Larry the Floor Manager,"September 30, 2017"
11,9,420,The Legend of Boo-Kini Bottom,"October 13, 2017"
11,10,421,No Pictures Please,"November 6, 2017"
11,11,422,Stuck on the Roof,"November 6, 2017"
11,12,423,Krabby Patty Creature Feature,"October 21, 2017"
11,13,424,Teacher's Pests,"October 21, 2017"
11,14,425,Sanitation Insanity,"May 7, 2018"
11,15,426,Bunny Hunt,"March 30, 2018"
11,16,427,Squid Noir,"November 10, 2017"
11,17,428,Scavenger Pants,"November 9, 2017"
11,18,429,Cuddle E. Hugs,"November 8, 2017"
11,19,430,Pat the Horse,"December 2, 2017"
11,20,431,Chatterbox Gary,"February 12, 2018"
11,21,432,Don't Feed the Clowns,"February 12, 2018"
11,22,433,Drive Happy,"February 13, 2018"
11,23,434,Old Man Patrick,"February 14, 2018"
11,24,435,Fun-Sized Friends,"February 15, 2018"
11,25,436,Grandmum's the Word,"February 16, 2018"
11,26,437,Doodle Dimension,"March 9, 2018"
11,27,438,Moving Bubble Bass,"March 16, 2018"
11,28,439,High Sea Diving,"April 6, 2018"
11,29,440,Bottle Burglars,"April 13, 2018"
11,30,441,My Leg!,"May 8, 2018"
11,31,442,Ink Lemonade,"May 9, 2018"
11,32,443,Mustard O' Mine,"May 10, 2018"
11,33,444,Shopping List,"September 24, 2018"
11,34,445,Whale Watching,"August 6, 2018"
11,35,446,Krusty Kleaners,"August 7, 2018"
11,36,447,Patnocchio,"August 8, 2018"
11,37,448,ChefBob,"August 9, 2018"
11,38,449,Plankton Paranoia,"September 26, 2018"
11,39,450,Library Cards,"September 25, 2018"
11,40,451,Call the Cops,"September 27, 2018"
11,41,452,Surf N' Turf,"November 11, 2018"
11,42,453,Goons on the Moon,"November 25, 2018"
11,43,454,Appointment TV,"October 28, 2018"
11,44,455,Karen's Virus,"November 4, 2018"
11,45,456,The Grill is Gone,"October 21, 2018"
11,46,457,The Night Patty,"October 21, 2018"
11,47,458,Bubbletown,"October 28, 2018"
11,48,459,Girls' Night Out,"November 4, 2018"
11,49,460,Squirrel Jelly,"November 18, 2018"
11,50,461,The String,"November 18, 2018"
12,1,462,FarmerBob,"November 11, 2018"
12,2,463,Gary & Spot,"July 27, 2019"
12,3,464,The Nitwitting,"January 13, 2019"
12,4,465,The Ballad of Filthy Muck,"January 20, 2019"
12,5,466,The Krusty Slammer,"January 27, 2019"
12,6,467,Pineapple RV,"July 17, 2020"
12,7,468,Gary's Got Legs,"July 27, 2019"
12,8,469,King Plankton,"June 22, 2019"
12,9,470,Plankton's Old Chum,"November 30, 2019"
12,10,471,Stormy Weather,"June 22, 2019"
12,11,472,Swamp Mates,"April 11, 2020"
12,12,473,One Trick Sponge,"April 11, 2020"
12,13,474,The Krusty Bucket,"August 10, 2019"
12,14,475,Squid's on a Bus,"September 28, 2019"
12,15,476,Sandy's Nutty Nieces,"June 29, 2019"
12,16,477,Insecurity Guards,"June 29, 2019"
12,17,478,Broken Alarm,"July 6, 2019"
12,18,479,Karen's Baby,"August 10, 2019"
12,19,480,Shell Games,"March 7, 2020"
12,20,481,Senior Discount,"July 6, 2019"
12,21,482,Mind the Gap,"September 14, 2019"
12,22,483,Dirty Bubble Returns,"November 23, 2019"
12,23,484,Jolly Lodgers,"March 7, 2020"
12,24,485,Biddy Sitting,"February 8, 2020"
12,25,486,SpongeBob's Big Birthday Blowout,"July 12, 2019"
12,26,487,SpongeBob in RandomLand,"September 21, 2019"
12,27,488,SpongeBob's Bad Habit,"September 21, 2019"
12,28,489,Handemonium,"November 23, 2019"
12,29,490,Breakin',"September 14, 2019"
12,30,491,Boss for a Day,"July 17, 2020"
12,31,492,The Goofy Newbie,"September 28, 2019"
12,32,493,The Ghost of Plankton,"October 12, 2019"
12,33,494,My Two Krabses,"January 18, 2021"
12,34,495,"Knock Knock, Who's There?","April 23, 2021"
12,35,496,Pat Hearts Squid,"July 9, 2021"
12,36,497,Lighthouse Louie,"January 18, 2021"
12,37,498,Hiccup Plague,"April 22, 2022"
12,38,499,A Cabin in the Kelp,"October 12, 2019"
12,39,500,The Hankering,"November 30, 2019"
12,40,501,Who R Zoo?,"February 8, 2020"
12,41,502,Kwarantined Krab,"April 29, 2022"
12,42,503,Plankton's Intern,"April 30, 2021"
12,43,504,Patrick's Tantrum,"February 25, 2022"
12,44,505,Bubble Bass's Tab,"April 9, 2021"
12,45,506,Kooky Cooks,"April 9, 2021"
12,46,507,Escape from Beneath Glove World,"January 18, 2020"
12,47,508,Krusty Koncessionaires,"November 7, 2020"
12,48,509,Dream Hoppers,"November 7, 2020"
