classification,name,count
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales,Capnodiale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae,Asterinacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae|Asterina,Asterin,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae|Dimerosporium,Dimerosporiu,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Asterinaceae|Lembosia,Lembosi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Capnodiaceae,Capnodiacea,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Capnodiaceae|Scorias,Scoria,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Cladosporiaceae,Cladosporiacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Cladosporiaceae|Davidiellaceae,Davidiellacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Cladosporiaceae|Davidiellaceae|Heterosporium,Heterosporiu,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Davidiellaceae,Davidiellacea,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Davidiellaceae|Cladosporium,Cladosporiu,4
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Euantennariaceae,Euantennariacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Euantennariaceae|Aithalomyces,Aithalomyce,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae,Mycosphaerellacea,7
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Cercoseptoria,Cercoseptori,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Cercospora,Cercospor,28
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Cercosporella,Cercosporell,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Cercosporina,Cercosporin,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Cercosporina|Cercosporina berteroae,Cercosporina berteroa,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Cymadothea,Cymadothe,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Discella,Discell,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Isariopsis,Isariopsi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Mycosphaerella,Mycosphaerell,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Ophiocarpella,Ophiocarpell,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Ovularia,Ovulari,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Polythrincium,Polythrinciu,4
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Ramularia,Ramulari,23
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Ramularia|Ramularia senecionis,Ramularia senecioni,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Septoria,Septori,75
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Mycosphaerellaceae|Sphaerulina,Sphaerulin,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Capnodiales|Scirrhia,Scirrhi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales,Dothideale,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothideaceae,Dothideacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothideaceae|Dothidea,Dothide,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothioraceae,Dothioracea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothioraceae|Jaapia,Jaapi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothioraceae|Kabatia,Kabati,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothioraceae|Plowrightia,Plowrighti,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothioraceae|Sclerophoma,Sclerophom,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Dothioraceae|Selenophoma,Selenophom,14
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Placosphaeria,Placosphaeri,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Planistromellaceae,Planistromellacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Planistromellaceae|Kellermania,Kellermani,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Saccotheciaceae,Saccotheciacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Saccotheciaceae|Dothioraceae,Dothioracea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Saccotheciaceae|Dothioraceae|Metasphaeria,Metasphaeri,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Dothideales|Saccotheciaceae|Dothioraceae|Protocoronospora,Protocoronospor,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales,Microthyriale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Microthyriaceae,Microthyriacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Microthyriaceae|Microthyrium,Microthyriu,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Muyocopronaceae,Muyocopronacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Muyocopronaceae|Microthyriaceae,Microthyriacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Microthyriales|Muyocopronaceae|Microthyriaceae|Ellisiodothis,Ellisiodothi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Myriangiales,Myriangiale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Myriangiales|Elsinoaceae,Elsinoacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Myriangiales|Elsinoaceae|ElsinoÅE,Elsino,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Parodiopsidaceae,Parodiopsidacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Parodiopsidaceae|Dimerium,Dimeriu,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Parodiopsidaceae|Stomatogene,Stomatogen,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Polystomellaceae,Polystomellacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Dothideomycetidae|Polystomellaceae|Dothidella,Dothidell,8
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales,Hysteriale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae,Hysteriacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae|Gloniella,Gloniell,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae|Glonium,Gloniu,6
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Hysteriales|Hysteriaceae|Hysterographium,Hysterographiu,7
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Meliolomycetidae,Meliolomycetida,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Meliolomycetidae|Meliolales,Meliolale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Meliolomycetidae|Meliolales|Meliolaceae,Meliolacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Meliolomycetidae|Meliolales|Meliolaceae|Meliola,Meliol,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Patellariales,Patellariale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Patellariales|Patellariaceae,Patellariacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Patellariales|Patellariaceae|Tryblidiella,Tryblidiell,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae,Pleosporomycetida,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales,Pleosporale,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Ascochyta,Ascochyt,7
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Dacampiaceae,Dacampiacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Dacampiaceae|Teichospora,Teichospor,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Herpotrichia,Herpotrichi,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae,Leptosphaeriacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Coniothyrium,Coniothyriu,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Leptosphaeria,Leptosphaeri,11
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Leptosphaeria|Leptosphaeria agnita,Leptosphaeria agnit,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Leptosphaeriaceae|Ophiobolus,Ophiobolu,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Lophiostomataceae,Lophiostomatacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Lophiostomataceae|Lophiostoma,Lophiostom,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Massarinaceae,Massarinacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Massarinaceae|Helminthosporium,Helminthosporiu,8
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Melanommataceae,Melanommatacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Melanommataceae|Aposphaeria,Aposphaeri,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Neopeckia,Neopecki,5
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae,Phaeosphaeriacea,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Darluca,Darluc,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Stagonospora,Stagonospor,3
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Stagonospora|Stagonospora agrostidis,Stagonospora agrostidi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Phaeosphaeriaceae|Tiarospora,Tiarospor,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleomassariaceae,Pleomassariacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleomassariaceae|Stegonsporium,Stegonsporiu,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleomassariaceae|Trematosphaeria,Trematosphaeri,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae,Pleosporacea,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Alternaria,Alternari,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Curvularia,Curvulari,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Epicoccum,Epicoccu,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Macrosporium,Macrosporiu,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Pleospora,Pleospor,22
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Pleosporaceae|Pyrenophora,Pyrenophor,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Sporormiaceae,Sporormiacea,0
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Sporormiaceae|Berkleasmium,Berkleasmiu,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae,Venturiacea,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Dibotryon,Dibotryo,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Piggotia,Piggoti,2
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Platychora,Platychor,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Rhizogene,Rhizogen,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Sphaerellopsis,Sphaerellopsi,1
Fungi|Ascomycota|Pezizomycotina|Dothideomycetes|Pleosporomycetidae|Pleosporales|Venturiaceae|Venturia,Venturi,1
Fungi|Ascomycota|Pezizomycotina|Dothiopsis,Dothiopsi,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes,Eurotiomycete,0
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae,Chaetothyriomycetida,0
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae|Chaetothyriales,Chaetothyriale,0
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae|Chaetothyriales|Bonordeniella,Bonordeniell,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Chaetothyriomycetidae|Chaetothyriales|Coniosporium,Coniosporiu,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae,Eurotiomycetida,0
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales,Eurotiale,0
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae,Trichocomacea,0
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Aspergillus,Aspergillu,5
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Diplostephanus,Diplostephanu,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Eurotium,Eurotiu,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Eurotium|Eurotium herbariorum,Eurotium herbarioru,1
Fungi|Ascomycota|Pezizomycotina|Eurotiomycetes|Eurotiomycetidae|Eurotiales|Trichocomaceae|Sterigmatocystis,Sterigmatocysti,1
Fungi|Ascomycota|Pezizomycotina|Exosporium,Exosporiu,3
Fungi|Ascomycota|Pezizomycotina|Fumago,Fumag,1
Fungi|Ascomycota|Pezizomycotina|Gonatobotryum,Gonatobotryu,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes,Lecanoromycete,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes,Dothideomycete,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes|Lecanoromycetidae,Lecanoromycetida,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes|Lecanoromycetidae|Botryosphaeriales,Botryosphaeriale,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes|Lecanoromycetidae|Botryosphaeriales|Thelocarpaceae,Thelocarpacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes|Lecanoromycetidae|Botryosphaeriales|Thelocarpaceae|Botryosphaeriaceae,Botryosphaeriacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Dothideomycetes|Lecanoromycetidae|Botryosphaeriales|Thelocarpaceae|Botryosphaeriaceae|Sphaeropsis,Sphaeropsi,4
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae,Lecanoromycetida,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales,Lecanorale,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae,Parmeliacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Lecanorales|Parmeliaceae|Xanthoparmelia,Xanthoparmeli,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales,Teloschistale,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Physciaceae,Physciacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Physciaceae|Physcia,Physci,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Lecanoromycetidae|Teloschistales|Physciaceae|Physcia|Physcia obscura,Physcia obscur,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae,Ostropomycetida,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales,Ostropale,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Graphidaceae,Graphidacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Graphidaceae|Graphis,Graphi,1
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Odontotremataceae,Odontotrematacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Odontotremataceae|Odontotrema,Odontotrem,2
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Stictidaceae,Stictidacea,0
Fungi|Ascomycota|Pezizomycotina|Lecanoromycetes|Ostropomycetidae|Ostropales|Stictidaceae|Stictis,Sticti,3
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes,Leotiomycete,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Chaetomella,Chaetomell,1
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes,Dothideomycete,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae,Leotiomycetida,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales,Rhytismatale,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales,Hysteriale,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales|Rhytismataceae,Rhytismatacea,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales|Rhytismataceae|Hysteriaceae,Hysteriacea,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales|Rhytismataceae|Hysteriaceae|Hysterium,Hysteriu,4
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Dothideomycetes|Leotiomycetidae|Rhytismatales|Hysteriales|Rhytismataceae|Hysteriaceae|Hysterium|Hysterium acuminatum,Hysterium acuminatu,2
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes,Eurotiomycete,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae,Leotiomycetida,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae,Eurotiomycetida,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae|Helotiales,Helotiale,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae|Helotiales|Eurotiales,Eurotiale,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae|Helotiales|Eurotiales|Trichocomaceae,Trichocomacea,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae|Helotiales|Eurotiales|Trichocomaceae|Sclerotiniaceae,Sclerotiniacea,0
Fungi|Ascomycota|Pezizomycotina|Leotiomycetes|Eurotiomycetes|Leotiomycetidae|Eurotiomycetidae|Helotiales|Eurotiales|Trichocomaceae|Sclerotiniaceae|Penicillium,Penicilliu,1
